PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 09 09 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,03 20 38.03,-29 58 08.4 #Field centre
UTTIME,17 31 16.00 #Target observing time
UTDATE,2022 09 19 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,49710591306005,9.46169105723798,-161.42575941207176,161.808944075689,-1.52679497547546,1.62933306823117,3.12705726347296,50.2039019360826,-29.282918083671,0.0,17.1151508403746,0.0,0.0,0.0,0.0,0.0,0.0,8.92748146159568,1.82593640751362,0.0294,19.6654537628361,0.0,0.0,8,10266.946314671,155057.251896568,1,9466.36,-161531.8,-99,P,rectangular_magnet,R01,1,I,1.0,E,-2.521091723476104,3.12705726347296,circular_magnet,Yel,1,TL,0.1061433243999999,0.0
2,48700360507097,-66.82803773814368,52.00317526191451,84.6794537832785,3.11079757498578,-0.660976508696844,3.77177408368263,49.8273636366048,-30.1915518183279,0.0,17.9118847485932,0.0,0.0,0.0,0.0,0.0,0.0,8.78656671361656,1.58840950565197,0.0323,20.1595718172508,0.0,0.0,8,-74830.709367312,-50293.9721358911,1,-66845.38,51983.7,-99,P,rectangular_magnet,R02,1,I,2.0,O,91.76442803378356,3.77177408368263,circular_magnet,Blu,1,TR,0.0167343919199998,0.02
3,49710743902528,-20.30889505584277,-92.5380666025362,94.6949626246998,1.72180779141364,1.35457156598318,0.367236225430459,50.0579859490948,-29.572696464439,0.0,17.0807507679102,0.0,0.0,0.0,0.0,0.0,0.0,8.85267044924738,1.92721709654226,0.03,19.7482786480388,0.0,0.0,8,-22710.0667445723,89567.3378429996,1,-20316.22,-92489.93,-99,P,rectangular_magnet,R03,1,I,3.0,R,171.34768041925685,0.367236225430459,circular_magnet,Gre,1,TR,0.04869073126,0.0
4,48700515001006,-97.99912699386132,173.43918593902163,199.215371445017,0.572379641037481,-1.05686900594331,1.62924864698079,49.6793345456066,-30.6994058049055,0.0,16.4816144164494,0.0,0.0,0.0,0.0,0.0,0.0,9.83643678895542,2.08227334100791,0.0599,19.3171777929802,0.0,0.0,8,-108285.283932905,-165068.973102429,1,-97934.48,173480.84,-99,P,rectangular_magnet,R04,1,I,4.0,G,-122.79493771066072,1.62924864698079,circular_magnet,Mag,1,TL,0.0769044511799999,0.0
5,48700082602297,-12.470505736311065,146.13440582099773,146.687372880467,0.518779251760983,-1.48598815937639,2.00476741113737,50.0977031626816,-30.5905864424298,0.0,17.0609633900671,0.0,0.0,0.0,0.0,0.0,0.0,8.92195924901377,2.44923639658876,0.0256,20.2489915947705,0.0,0.0,8,-13733.976473956,-140475.797182921,1,-12425.38,146160.17,-99,P,rectangular_magnet,R05,1,I,5.0,T,-119.7238616248591,2.00476741113737,circular_magnet,Gre,1,TL,0.0519627269999999,0.0
6,49710474904352,32.21427967911753,-128.48609753092657,132.520116158716,4.07405673341027,1.81592854199831,2.25812819141196,50.3154017187166,-29.4205339981597,0.0,16.6639656105664,0.0,0.0,0.0,0.0,0.0,0.0,9.41419390686818,3.51931956958096,0.042,20.6391338146052,0.0,0.0,8,35465.8971899547,123956.055222121,1,32160.59,-128558.46,-99,P,rectangular_magnet,R06,1,I,6.0,D,36.573743678736776,2.25812819141196,circular_magnet,Gre,1,TL,0.0901049863999998,0.0
7,48700714806202,-136.7589410406597,70.17406260361962,153.735610725953,1.32254146549496,-0.474755161149069,1.79729662664403,49.4857684380442,-30.2665408673342,0.0,17.7219250343327,0.0,0.0,0.0,0.0,0.0,0.0,8.78565051847291,1.72509897675049,0.0306,20.148869803907,0.0,0.0,8,-152031.224242009,-67241.4972113153,1,-136733.17,70275.73,-99,P,rectangular_magnet,R07,1,I,7.0,N,-165.776044203908,1.79729662664403,circular_magnet,Yel,1,TL,0.10488282044,0.0
8,49700920712375,46.55831886987776,-50.45566821738184,68.6590378331571,3.97267676917601,2.31529194700389,1.65738482217212,50.3882138784639,-29.7519654852742,0.0,16.9200136618637,0.0,0.0,0.0,0.0,0.0,0.0,9.13523271684588,2.3597480670868,0.03,20.0272165387156,0.0,0.0,8,51921.4452928447,49052.5391342444,1,46523.43,-50493.9,-99,P,rectangular_magnet,R08,1,I,8.0,F,42.382387756547104,1.65738482217212,circular_magnet,Blu,1,TL,0.05175811476,0.0
9,49701021902795,26.25533270745877,136.50896833559165,139.008000290284,3.00374892137521,4.52278152819727,4.76415270035752,50.2885667516114,-30.5500834610613,0.0,17.2144451788959,0.0,0.0,0.0,0.0,0.0,0.0,8.17670418127195,1.52884625670121,0.0123,19.3791389318281,0.0,0.0,8,29401.1946241791,-131322.123393639,1,26199.31,136516.74,-99,P,rectangular_magnet,R09,1,I,9.0,J,97.8978640882271,4.76415270035752,circular_magnet,Gre,1,TR,0.05655919482,0.0
10,49690588112652,10.08105320724848,179.74601834938306,180.029218465264,3.07308357997217,4.65668087562981,4.69958801152194,50.2085262124978,-30.7290071276389,0.0,17.9115711782577,0.0,0.0,0.0,0.0,0.0,0.0,8.6487019107483,1.68735049205142,0.0265,20.2904723723866,0.0,0.0,8,11312.0327845062,-171758.872040178,1,10023.9,179749.94,-99,P,rectangular_magnet,R10,1,I,10.0,K,93.92528077664088,4.69958801152194,circular_magnet,Yel,1,TR,0.0572875941399999,0.0
