PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 08 19 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,20 49 34.46,-52 37 14.6 #Field centre
UTTIME,12 39 57.00 #Target observing time
UTDATE,2022 08 25 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,2113,-42.08671168125806,92.02205823261704,101.143238576785,-0.112866236570474,-1.14260643940714,1.02974020283666,312.092294629108,-53.0134409885004,0.0,18.0372638702393,0.0,0.0,0.0,0.0,0.0,0.0,8.99919136470951,5.57682514190674,0.044769998639822,23.5697004144945,0.0,0.0,8,-68094.1999957348,-88755.0222025819,1,-41997.18,92011.91,-99,P,rectangular_magnet,R01,1,I,1.0,D,-83.53324099498673,1.02974020283666,circular_magnet,Gre,1,TL,0.0901049863999998,0.0
2,1313,11.326215912106523,100.36172606871386,100.993568016286,-0.261230044625611,4.59966412922036,1.42229113333361,312.471687925561,-53.0503599930257,0.0,15.6339044570923,0.0,0.0,0.0,0.0,0.0,0.0,10.3828204961625,2.96528506278992,0.0396899990737438,19.2310803519061,0.0,0.0,8,17648.6850025475,-97098.717225297,1,11360.39,100352.59,-99,P,rectangular_magnet,R02,1,I,2.0,Q,-75.03262096093835,1.42229113333361,circular_magnet,Gre,1,TL,0.0353742283999999,0.0
3,3146,-31.052657098729945,-153.61014318645886,156.794881612688,-1.01750712377873,1.3717948253648,3.89388335803605,312.183887383447,-51.9666752053755,0.0,15.1801538467407,0.0,0.0,0.0,0.0,0.0,0.0,10.7305232538267,4.03702306747437,0.0473794440819455,19.3848093689848,0.0,0.0,8,-47394.2375152002,147814.044783648,1,-30996.88,-153700.45,-99,P,rectangular_magnet,R03,1,I,3.0,E,-31.701136182983305,3.89388335803605,circular_magnet,Yel,1,TR,0.1061433243999999,0.0
4,1854,44.03162695195866,-203.36586986600932,208.116509665082,4.05051092564662,1.78379797979177,2.26671294585485,312.698122316098,-51.7650187830275,0.0,16.1045875549316,0.0,0.0,0.0,0.0,0.0,0.0,10.0863885518662,6.37117099761963,0.0450164936482906,21.7888637956828,0.0,0.0,8,68822.8572640013,193388.396234284,1,43994.72,-203413.24,-99,P,rectangular_magnet,R04,1,I,4.0,B,37.92281908882029,2.26671294585485,circular_magnet,Mag,1,TL,0.0600504179599999,0.0
5,3494,99.28838086423843,14.64783094000638,100.392436852815,1.11636451473419,3.28849119598893,4.11105862592485,313.094424370425,-52.6832134546026,0.0,15.1973237991333,0.0,0.0,0.0,0.0,0.0,0.0,10.5898167196596,4.82804679870605,0.0420559930769546,20.0714848830118,0.0,0.0,8,158387.12154188,-14123.5995416684,1,99311.19,14694.52,-99,P,rectangular_magnet,R05,1,I,5.0,T,-153.9629750924393,4.11105862592485,circular_magnet,Gre,1,TR,0.0519627269999999,0.0
6,3889,91.18971756557433,-43.87622387500917,101.197189289644,1.10658736940157,2.69369468033084,4.69607799625032,313.035237506705,-52.4328906813071,0.0,17.4386405944824,0.0,0.0,0.0,0.0,0.0,0.0,9.88537323107578,2.40519309043884,0.048200000077486,20.4828109734308,0.0,0.0,8,145010.89034122,42449.3472230924,1,91215.04,-43825.65,-99,P,rectangular_magnet,R06,1,I,6.0,J,-153.40278592919412,4.69607799625032,circular_magnet,Gre,1,TR,0.05655919482,0.0
7,883,113.60437476445396,107.8325404295629,156.57185364337,3.24358965253496,3.90123146730413,5.62554349241042,313.193263392796,-53.0778903397965,0.0,15.3546085357666,0.0,0.0,0.0,0.0,0.0,0.0,9.9928104118074,20.3067226409912,0.0439499989151954,24.068875609559,0.0,0.0,8,180724.740597779,-103320.575595503,1,113527.87,107824.71,-99,P,rectangular_magnet,R07,1,I,7.0,G,84.15600243744163,5.62554349241042,circular_magnet,Yel,1,TR,0.0769044511799999,0.0
8,4781,160.51408987616608,-113.9660290915254,196.883262151868,4.55857964550212,2.52415191522964,2.03442773027248,313.499762470689,-52.1374128692615,0.0,15.9585275650024,0.0,0.0,0.0,0.0,0.0,0.0,10.3293363130938,2.79087090492249,0.0466875061392784,19.5381646852609,0.0,0.0,8,249993.532201474,109227.332745417,1,160531.29,-113985.63,-99,P,rectangular_magnet,R08,1,I,8.0,O,8.812625738485565,2.03442773027248,circular_magnet,Mag,1,TL,0.0167343919199998,0.02
9,4555,-72.99624080397255,-52.46722894612249,89.8943287805104,-0.932634431866656,0.624376600950257,4.72617427436267,311.883158389645,-52.3933223405874,0.0,16.2551498413086,0.0,0.0,0.0,0.0,0.0,0.0,10.1807304906031,2.12997508049011,0.0437194816768169,19.2395942484181,0.0,0.0,8,-115358.990114339,51391.7922257552,1,-72933.76,-52551.47,-99,P,rectangular_magnet,R09,1,I,9.0,N,-36.56398322545931,4.72617427436267,circular_magnet,Blu,1,TR,0.10488282044,0.0
10,1723,-12.078007530851332,-80.18965442888893,81.1435106892695,-0.810724686723259,1.42208364634091,4.05037697411542,312.311560015059,-52.2764916826865,0.0,14.4223880767822,0.0,0.0,0.0,0.0,0.0,0.0,10.5084741740729,11.4192752838135,0.0486001312720824,21.478339695425,0.0,0.0,8,-18540.2227708046,77795.5209113502,1,-12022.64,-80247.9,-99,P,rectangular_magnet,R10,1,I,10.0,A,-43.54889710369139,4.05037697411542,circular_magnet,Blu,1,TR,0.0803623669799998,0.0
