PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 08 19 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,20 49 29.95,-52 45 02.9 #Field centre
UTTIME,12 39 53.00 #Target observing time
UTDATE,2022 08 25 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,3662,32.95405322799336,100.37947116285288,105.630517340982,3.21897489269641,4.39563232421853,5.10652787565746,312.606810089566,-53.1804510884211,0.0,16.1133251190186,0.0,0.0,0.0,0.0,0.0,0.0,9.63591764550717,18.2394561767578,0.0429974235594272,24.4085526998716,0.0,0.0,8,52435.3370710029,-97101.3693055589,1,32902.45,100375.47,-99,P,rectangular_magnet,R01,1,I,1.0,F,85.56632428991867,5.10652787565746,circular_magnet,Gre,1,TR,0.05175811476,0.0
2,3697,98.8378238524423,-18.928682267480223,100.649906364779,1.18694122424871,2.95316922875553,4.51695730267277,313.073246730933,-52.6696935430618,0.0,16.6342468261719,0.0,0.0,0.0,0.0,0.0,0.0,10.0448408130391,2.16302299499512,0.044934419264143,19.7012137348456,0.0,0.0,8,157850.018019896,18329.8359456342,1,98868.48,-18852.78,-99,P,rectangular_magnet,R02,1,I,2.0,L,-158.0067226795421,4.51695730267277,circular_magnet,Gre,1,TR,0.0818593524999998,0.0
3,10,113.36581842247242,27.93025279743975,116.735028912043,4.00875747927165,3.38302626146129,0.625731217810362,313.176138481322,-52.8692245485878,0.0,16.4197826385498,0.0,0.0,0.0,0.0,0.0,0.0,9.94356948127599,5.56331491470337,0.0420100018382072,21.7654699501172,0.0,0.0,8,181103.553607875,-26764.1713032332,1,113349.27,27910.75,-99,P,rectangular_magnet,R03,1,I,3.0,I,40.31511534623186,0.625731217810362,circular_magnet,Gre,1,TR,0.0255775173599999,0.0
4,3984,92.54796344988203,-137.65434349625497,165.898899912606,4.32198137667016,2.16268656501996,2.1592948116502,313.018796159968,-52.1663895486453,0.0,15.582799911499,0.0,0.0,0.0,0.0,0.0,0.0,10.4231534040818,5.07274580001831,0.0456340296141152,20.5251469671422,0.0,0.0,8,145544.18898187,132076.538683763,1,92560.09,-137677.43,-99,P,rectangular_magnet,R04,1,I,4.0,O,22.36870798265852,2.1592948116502,circular_magnet,Yel,1,TL,0.0167343919199998,0.02
5,4003,17.132486097163863,31.59840290775683,35.9533551757969,-0.3652676737831,4.21363496330878,1.70428267008771,312.496531361734,-52.8868626745299,0.0,15.7352933883667,0.0,0.0,0.0,0.0,0.0,0.0,10.3010905649432,6.60878610610962,0.0450000017881393,21.3208906177911,0.0,0.0,8,27512.3445810102,-30750.3877661525,1,17197.63,31573.49,-99,P,rectangular_magnet,R05,1,I,5.0,C,-69.071703899667,1.70428267008771,circular_magnet,Blu,1,TL,0.0697451148799999,0.0
6,1111,-38.13912622912481,133.4383350591693,138.776858480982,0.128979166481978,-1.29263616941965,1.42161533590163,312.099488852359,-53.3180176042209,0.0,14.4696636199951,0.0,0.0,0.0,0.0,0.0,0.0,10.9428204324487,5.41129589080811,0.042599470597756,19.5023767348327,0.0,0.0,8,-62219.2625378325,-128191.401876329,1,-38106.32,133442.59,-99,P,rectangular_magnet,R06,1,I,6.0,S,-97.38996188453255,1.42161533590163,circular_magnet,Gre,1,TL,0.0330810095199999,0.0
7,3379,-117.7280300825593,-21.69961321743601,119.680924425334,-1.04594648584227,0.182983176232733,5.05425564510458,311.546774955437,-52.6529234394609,0.0,14.1286716461182,0.0,0.0,0.0,0.0,0.0,0.0,11.2842580286433,6.32003688812256,0.0477196794590476,19.1966699672533,0.0,0.0,8,-187132.603242243,22119.8793594452,1,-117682.88,-21777.59,-99,P,rectangular_magnet,R07,1,I,7.0,D,-30.071680764698044,5.05425564510458,circular_magnet,Gre,1,TR,0.0901049863999998,0.0
8,2088,31.329576976558887,-1.509101677324738,31.3827125686133,1.23984380509368,3.09529873065081,4.42773038162245,312.597747657313,-52.7448657747332,0.0,15.987491607666,0.0,0.0,0.0,0.0,0.0,0.0,10.203233118457,7.50891399383545,0.0442305990232749,21.9571327072313,0.0,0.0,8,50387.227381731,1340.91158789251,1,31349.09,-1452.31,-99,P,rectangular_magnet,R08,1,I,8.0,B,-161.03781728730848,4.42773038162245,circular_magnet,Blu,1,TR,0.0600504179599999,0.0
9,4317,36.98602149482071,-200.5483019293868,203.977933424474,3.79464322736251,1.75271331064047,2.04192991672204,312.632093878144,-51.9060643755453,0.0,16.0008792877197,0.0,0.0,0.0,0.0,0.0,0.0,10.2728541766354,3.72313594818115,0.0461180210113525,20.2597879287629,0.0,0.0,8,58149.4732894914,190910.027804369,1,36902.72,-200612.03,-99,P,rectangular_magnet,R09,1,I,9.0,N,52.58295831422652,2.04192991672204,circular_magnet,Mag,1,TL,0.10488282044,0.0
10,2244,106.90097120782436,-175.3863609385073,205.407758201491,3.8980560131058,2.11795237855856,1.78010363454724,313.110474614911,-52.0116655347577,0.0,15.3057689666748,0.0,0.0,0.0,0.0,0.0,0.0,10.7181370233367,3.80525898933411,0.0521360680794711,19.7116655203723,0.0,0.0,8,166263.519798861,167044.165822363,1,106865.56,-175419.78,-99,P,rectangular_magnet,R10,1,I,10.0,R,46.65784214344535,1.78010363454724,circular_magnet,Mag,1,TL,0.04869073126,0.0
11,1306,60.10662652503994,10.797545273161347,60.9783735143026,3.87072711108982,3.3184248316102,0.552302279479621,312.800683150072,-52.797094549287,0.0,19.0498886108398,0.0,0.0,0.0,0.0,0.0,0.0,8.75647608304382,3.55137205123901,0.0414000004529953,23.4894348596061,0.0,0.0,8,96250.6487453477,-10462.7914612703,1,60027.47,10726.83,-99,P,rectangular_magnet,R11,1,I,11.0,E,48.22367288768757,0.552302279479621,circular_magnet,Blu,1,TR,0.1061433243999999,0.0
12,2043,54.97319801991205,58.88680434503953,80.5269160388283,3.50863737583205,3.96154152671861,5.83028115629303,312.764367443311,-53.0033686304903,0.0,15.4376850128174,0.0,0.0,0.0,0.0,0.0,0.0,10.4962865305869,4.24379396438599,0.0451322658577287,20.0896892342035,0.0,0.0,8,88043.2990172842,-57080.7338132123,1,54940.18,58874.11,-99,P,rectangular_magnet,R12,1,I,12.0,Q,68.9698865229671,5.83028115629303,circular_magnet,Blu,1,TR,0.0353742283999999,0.0
13,2547,131.82424051995793,171.70037295038225,216.475683967672,2.39856078749952,4.05798941565242,4.62375667902669,313.298569374842,-53.469873205486,0.0,15.4668569564819,0.0,0.0,0.0,0.0,0.0,0.0,9.85296125794624,10.945894241333,0.0445495396852493,22.6792661130855,0.0,0.0,8,208772.935543332,-162510.767762233,1,131765.06,171754.74,-99,P,rectangular_magnet,R13,1,I,13.0,A,132.57258997070238,4.62375667902669,circular_magnet,Mag,1,TR,0.0803623669799998,0.0
14,1512,87.69846809498338,7.627744307971772,88.0704989833258,0.848497785205656,3.22879449302324,3.902888599362,312.995782126625,-52.7834950208487,0.0,19.0431671142578,0.0,0.0,0.0,0.0,0.0,0.0,8.88712845471422,1.91164195537567,0.0438800007104873,22.0672410523595,0.0,0.0,8,140343.017446306,-7389.29803420523,1,87735.86,7670.18,-99,P,rectangular_magnet,R14,1,I,14.0,J,-138.61534201848195,3.902888599362,circular_magnet,Blu,1,TL,0.05655919482,0.0
15,2128,139.57646610888983,2.496995482729335,139.570409401655,4.05498245856793,3.15922653143018,0.895755927137751,313.35662018328,-52.7595490716547,0.0,16.3781089782715,0.0,0.0,0.0,0.0,0.0,0.0,10.1554861253204,2.04315590858459,0.0488400012254715,19.2649365731518,0.0,0.0,8,221892.418250371,-1977.51351636741,1,139548.71,2461.04,-99,P,rectangular_magnet,R15,1,I,15.0,M,37.6666191244754,0.895755927137751,circular_magnet,Gre,1,TL,0.0454224428999999,0.0
16,2185,54.70006511582434,-52.98670670680431,76.1501087919814,1.16840539882614,2.37229416874003,5.07929653726569,312.761800245652,-52.5239323772579,0.0,15.4366178512573,0.0,0.0,0.0,0.0,0.0,0.0,10.4492845841535,4.77190923690796,0.0452973485761603,20.2925817403899,0.0,0.0,8,87463.1123464648,51271.8594173182,1,54706.15,-52972.41,-99,P,rectangular_magnet,R16,1,I,16.0,P,-156.94469811303753,5.07929653726569,circular_magnet,Blu,1,TR,0.0155377488999999,0.0
17,4237,-25.45266854292813,-83.47828159201154,87.3298801869125,-1.14094906549738,1.27543315857508,3.86680308310713,312.198630693094,-52.3923002302319,0.0,14.9545049667358,0.0,0.0,0.0,0.0,0.0,0.0,10.2059171307394,16.3333835601807,0.0487918571065413,22.9746716540055,0.0,0.0,8,-39813.2065317608,81020.7246451822,1,-25420.62,-83548.19,-99,P,rectangular_magnet,R17,1,I,17.0,G,-24.6284339076048,3.86680308310713,circular_magnet,Blu,1,TR,0.0769044511799999,0.0
18,1110,-97.27867440989615,9.912590977684784,97.7388577452064,-0.808439444043167,-0.101167731664771,5.57591359480119,311.685900643872,-52.7894531384344,0.0,17.0897254943848,0.0,0.0,0.0,0.0,0.0,0.0,9.92568153051478,3.18536710739136,0.0468495935201644,20.7923616364061,0.0,0.0,8,-155690.197655843,-8735.83260857804,1,-97239.11,9871.16,-99,P,rectangular_magnet,R18,1,I,18.0,K,-43.67983186442382,5.57591359480119,circular_magnet,Gre,1,TR,0.0572875941399999,0.0
19,1440,-12.219143448760136,70.01918022952655,71.0570183924952,-0.230076999570655,-1.39869754630947,1.16862054673882,312.286022944118,-53.0508189619672,0.0,14.5867309570312,0.0,0.0,0.0,0.0,0.0,0.0,11.0232656833804,3.92606902122498,0.0455190340244492,18.800090518999,0.0,0.0,8,-20062.5578002278,-67804.5087269761,1,-12168.55,70007.33,-99,P,rectangular_magnet,R19,1,I,19.0,T,-76.81755896156824,1.16862054673882,circular_magnet,Blu,1,TL,0.0519627269999999,0.0
20,487572865,-135.28943719301068,-148.16233037775825,200.638906745711,2.61950153268881,0.830744555234494,1.78875697745432,311.44998,-52.120333,,16.0784,,,0.0,,,,0.0,0.0,0.0,0.0,-11.5844025935497,-0.262540890927293,8,-209008.263170971,142485.3186776,0,-135296.06,-148158.52,-99,P,rectangular_magnet,R20,1,I,20.0,H,119.91361774888074,1.78875697745432,circular_magnet,Mag,1,TL,0.0076407166599999,0.0
21,487572603,-172.4249938737703,-119.12390153477708,209.591851054149,4.81241743640598,0.604736688266616,4.20768074813936,311.193549,-52.240774,,14.5667,,,0.0,,,,0.0,0.0,0.0,0.0,-5.14163333360146,2.15397282488958,8,-266961.669170963,115265.6526776,0,-172421.12,-119162.5,-99,P,rectangular_magnet,R21,1,I,21.0,U,-5.731208361229903,4.20768074813936,circular_magnet,Mag,1,TR,0.0387923757399998,0.0
22,487593413,-41.58777421102821,37.45513373499731,55.935918674485,-0.406566217915429,-0.733357198651989,0.326790980736559,312.077643,-52.910486,,13.9792,,,,,,,,,,,15.7914330980646,-8.34276389956238,-99,-67156.4251709617,-36089.2593223994,2,-41556.55,37441.69,-99,G,rectangular_magnet,R22,1,I,22.0,GS1,-66.70547162084978,0.326790980736559,circular_magnet,Blu,1,TR,0.0339953727,0.0
23,487573011,-200.48955041634943,-35.92171173580443,203.689124310059,4.68038437129642,0.177449384182321,4.5029349871141,310.985684,-52.587742,,13.8782,,,,,,,,,,,18.7544853615251,-30.4160492664937,-99,-313939.159170969,36850.8846776007,2,-200490.62,-35955.12,-99,G,rectangular_magnet,R23,1,I,23.0,GS2,1.8337290257238688,4.5029349871141,circular_magnet,Mag,1,TR,0.0334253814599998,0.0
24,482042141,-28.092267028292017,210.4071223143566,212.280843841865,0.30733961024744,-1.4382449657102,1.74558457595764,312.170311,-53.633703,,13.8491,,,,,,,,,,,-1.60260214292759,-9.34314740043849,-99,-46213.457170961,-199536.301322399,2,-28055.79,210418.7,-99,G,rectangular_magnet,R24,1,I,24.0,GS3,-107.609262544374,1.74558457595764,circular_magnet,Mag,1,TL,0.0382703069999998,0.0
25,482042377,7.884603968078242,206.45154217614328,206.61229022602,2.77188135669103,4.67436044077892,4.3807062230917,312.424673,-53.618973,,13.829,,,,,,,,,,,7.75942813851145,-15.0226642682723,-99,11272.3548290295,-196207.321322399,2,7855.27,206462.91,-99,G,rectangular_magnet,R25,1,I,25.0,GS4,111.18289695060724,4.3807062230917,circular_magnet,Mag,1,TR,0.03145964244,0.0
26,487598423,159.43303903294847,-38.95044639505616,164.115591081714,4.29991820572003,2.90175635872679,1.39816184699324,313.489134,-52.582736,,14.1029,,,,,,,,,,,-2.96682094595163,-8.9542666057188,-99,251840.540829028,37982.240677601,2,159418.09,-38984.61,-99,G,rectangular_magnet,R26,1,I,26.0,GS5,23.632834560776587,1.39816184699324,circular_magnet,Yel,1,TL,0.0372910912800001,0.0
27,487575602,-90.1401936379108,-130.54588919919763,158.636804695,2.32757041251978,0.966311171333536,1.36125924118624,311.75342,-52.193033,,14.0031,,,,,,,,,,,-4.88983140680538,3.27160567271219,-99,-140430.823170966,126055.1186776,2,-90159.41,-130525.54,-99,G,rectangular_magnet,R27,1,I,27.0,GS6,136.64003884309264,1.36125924118624,circular_magnet,Yel,1,TL,0.0279885419399999,0.0
22,Sky-A1-1,-84.151,-231.15927,-99.0,-99.0,-99.0,-99.0,311.8147208,-51.785971173,,,,,,,,,,,,,,,-99,,,-99,-84151.0,-231159.27,0,S,,,-99,,,,,,,,-99,,,
23,Sky-A1-2,-93.24117,-222.23219,-99.0,-99.0,-99.0,-99.0,311.7519769,-51.821381062,,,,,,,,,,,,,,,-99,,,-99,-93241.17,-222232.19,1,S,,,-99,,,,,,,,-99,,,
24,Sky-A1-3,-102.96402,-215.68359,-99.0,-99.0,-99.0,-99.0,311.6854709,-51.847657935,,,,,,,,,,,,,,,-99,,,-99,-102964.02,-215683.59,2,S,,,-99,,,,,,,,-99,,,
25,Sky-A1-4,-114.16975,-212.24121,-99.0,-99.0,-99.0,-99.0,311.6099154,-51.861848025,,,,,,,,,,,,,,,-99,,,-99,-114169.75,-212241.21,1,S,,,-99,,,,,,,,-99,,,
26,Sky-A1-5,-124.24934,-206.50222,-99.0,-99.0,-99.0,-99.0,311.5413112,-51.885141902,,,,,,,,,,,,,,,-99,,,-99,-124249.34,-206502.22,1,S,,,-99,,,,,,,,-99,,,
27,Sky-A1-6,-132.92867,-198.62268,-99.0,-99.0,-99.0,-99.0,311.4813851,-51.916957045,,,,,,,,,,,,,,,-99,,,-99,-132928.67,-198622.68,2,S,,,-99,,,,,,,,-99,,,
28,Sky-A1-7,-142.3313,-191.99688,-99.0,-99.0,-99.0,-99.0,311.4170726,-51.943935887,,,,,,,,,,,,,,,-99,,,-99,-142331.3,-191996.88,2,S,,,-99,,,,,,,,-99,,,
29,Sky-A2-1,-240.9813,-3.01251,-99.0,-99.0,-99.0,-99.0,310.7173557,-52.722771166,,,,,,,,,,,,,,,-99,,,-99,-240981.3,-3012.51,1,S,,,-99,,,,,,,,-99,,,
30,Sky-A2-2,-240.84715,8.5856,-99.0,-99.0,-99.0,-99.0,310.7161881,-52.771080841,,,,,,,,,,,,,,,-99,,,-99,-240847.15,8585.6,1,S,,,-99,,,,,,,,-99,,,
31,Sky-A2-3,-240.15512,20.16382,-99.0,-99.0,-99.0,-99.0,310.7188657,-52.819366777,,,,,,,,,,,,,,,-99,,,-99,-240155.12,20163.82,1,S,,,-99,,,,,,,,-99,,,
32,Sky-A2-4,-238.90682,31.69534,-99.0,-99.0,-99.0,-99.0,310.7253943,-52.867516876,,,,,,,,,,,,,,,-99,,,-99,-238906.82,31695.34,1,S,,,-99,,,,,,,,-99,,,
33,Sky-A2-5,-237.10513,43.15344,-99.0,-99.0,-99.0,-99.0,310.7357714,-52.915418933,,,,,,,,,,,,,,,-99,,,-99,-237105.13,43153.44,1,S,,,-99,,,,,,,,-99,,,
34,Sky-A2-6,-230.85777,53.6068,-99.0,-99.0,-99.0,-99.0,310.7753203,-52.959838329,,,,,,,,,,,,,,,-99,,,-99,-230857.77,53606.8,3,S,,,-99,,,,,,,,-99,,,
35,Sky-A2-7,-231.85957,65.74346,-99.0,-99.0,-99.0,-99.0,310.7680138,-53.010031713,,,,,,,,,,,,,,,-99,,,-99,-231859.57,65743.46,1,S,,,-99,,,,,,,,-99,,,
36,Sky-A3-1,-66.38214,231.67752,-99.0,-99.0,-99.0,-99.0,311.9016438,-53.713019102,,,,,,,,,,,,,,,-99,,,-99,-66382.14,231677.52,1,S,,,-99,,,,,,,,-99,,,
37,Sky-A3-2,-55.15828,234.60313,-99.0,-99.0,-99.0,-99.0,311.980378,-53.725639438,,,,,,,,,,,,,,,-99,,,-99,-55158.28,234603.13,1,S,,,-99,,,,,,,,-99,,,
38,Sky-A3-3,-43.4431,235.0185,-99.0,-99.0,-99.0,-99.0,312.0625795,-53.728326671,,,,,,,,,,,,,,,-99,,,-99,-43443.1,235018.5,2,S,,,-99,,,,,,,,-99,,,
39,Sky-A3-4,-31.81656,234.85465,-99.0,-99.0,-99.0,-99.0,312.1442862,-53.728540986,,,,,,,,,,,,,,,-99,,,-99,-31816.56,234854.65,3,S,,,-99,,,,,,,,-99,,,
40,Sky-A3-5,-20.82553,240.09865,-99.0,-99.0,-99.0,-99.0,312.2216345,-53.749560988,,,,,,,,,,,,,,,-99,,,-99,-20825.53,240098.65,1,S,,,-99,,,,,,,,-99,,,
41,Sky-A3-6,-9.24926,240.82258,-99.0,-99.0,-99.0,-99.0,312.3030753,-53.75282292,,,,,,,,,,,,,,,-99,,,-99,-9249.26,240822.58,1,S,,,-99,,,,,,,,-99,,,
42,Sky-A3-7,-2.32895,238.98865,-99.0,-99.0,-99.0,-99.0,312.3518199,-53.745872199,,,,,,,,,,,,,,,-99,,,-99,-2328.95,238988.65,2,S,,,-99,,,,,,,,-99,,,
43,Sky-A4-1,117.86456,210.21182,-99.0,-99.0,-99.0,-99.0,313.1959974,-53.624699317,,,,,,,,,,,,,,,-99,,,-99,117864.56,210211.82,1,S,,,-99,,,,,,,,-99,,,
44,Sky-A4-2,126.78123,202.60188,-99.0,-99.0,-99.0,-99.0,313.2586167,-53.593213591,,,,,,,,,,,,,,,-99,,,-99,126781.23,202601.88,2,S,,,-99,,,,,,,,-99,,,
45,Sky-A4-3,136.38242,196.26726,-99.0,-99.0,-99.0,-99.0,313.3255572,-53.566491748,,,,,,,,,,,,,,,-99,,,-99,136382.42,196267.26,2,S,,,-99,,,,,,,,-99,,,
46,Sky-A4-4,145.66771,189.47801,-99.0,-99.0,-99.0,-99.0,313.3901706,-53.537854454,,,,,,,,,,,,,,,-99,,,-99,145667.71,189478.01,2,S,,,-99,,,,,,,,-99,,,
47,Sky-A4-5,155.90952,183.77509,-99.0,-99.0,-99.0,-99.0,313.4608631,-53.513237318,,,,,,,,,,,,,,,-99,,,-99,155909.52,183775.09,1,S,,,-99,,,,,,,,-99,,,
48,Sky-A4-6,167.98539,179.7134,-99.0,-99.0,-99.0,-99.0,313.5433306,-53.49469952,,,,,,,,,,,,,,,-99,,,-99,167985.39,179713.4,0,S,,,-99,,,,,,,,-99,,,
49,Sky-A4-7,172.85157,167.93867,-99.0,-99.0,-99.0,-99.0,313.5780216,-53.446511517,,,,,,,,,,,,,,,-99,,,-99,172851.57,167938.67,1,S,,,-99,,,,,,,,-99,,,
