PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 08 15 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,20 10 28.69,-57 02 56.3 #Field centre
UTTIME,12 01 08.00 #Target observing time
UTDATE,2022 08 25 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,2882,64.08724396442908,-10.884292627797974,65.1056356972282,-0.452086580445012,2.97291116112546,2.85818756560911,303.125685756356,-57.0023236960691,0.0,16.9802837371826,0.0,0.0,0.0,0.0,0.0,0.0,10.0975089499639,1.86544299125671,0.0531248813475652,19.7013874022198,0.0,0.0,8,114392.183112166,10542.4222486448,1,64181.59,-10930.11,-99,P,rectangular_magnet,R01,1,I,1.0,N,-64.09734696599924,2.85818756560911,circular_magnet,Blu,1,TR,0.10488282044,0.0
2,2431,130.3090287061314,-4.400592380573267,130.357476740884,4.20405358313892,3.10744912113079,1.09660446200813,303.640438767774,-57.0284311890082,0.0,17.9764842987061,0.0,0.0,0.0,0.0,0.0,0.0,9.68756345950525,2.46170902252197,0.0589644853025674,21.3950898392136,0.0,0.0,8,230726.363692469,4642.12884442651,1,130281.5,-4450.0,-99,P,rectangular_magnet,R02,1,I,2.0,J,29.125472839288705,1.09660446200813,circular_magnet,Gre,1,TL,0.05655919482,0.0
3,1158,4.984073644589683,-51.27877860668129,51.584012927093,-0.685923265023588,1.66892595451741,3.92833608763859,302.661093162169,-56.8284636438376,0.0,17.6117534637451,0.0,0.0,0.0,0.0,0.0,0.0,9.68325846921462,5.67697906494141,0.0536205284297466,22.9968157135957,0.0,0.0,8,9394.25682570584,49834.7940529824,1,5053.8,-51335.85,-99,P,rectangular_magnet,R03,1,I,3.0,D,-50.69949184431499,3.92833608763859,circular_magnet,Blu,1,TR,0.0901049863999998,0.0
4,4943,-64.95947713785239,-87.88131538988193,109.294961659568,-0.993758551232966,0.934544289019494,4.35488246692713,302.117132407705,-56.6706054277261,0.0,15.8741245269775,0.0,0.0,0.0,0.0,0.0,0.0,10.5813826513152,3.66943311691284,0.0534644834697246,20.0952713418263,0.0,0.0,8,-113540.873683086,85510.7508941684,1,-64941.43,-87909.04,-99,P,rectangular_magnet,R04,1,I,4.0,S,-33.061829159315835,4.35488246692713,circular_magnet,Gre,1,TR,0.0330810095199999,0.0
5,5373,139.87094016420147,78.89761757584861,160.61729315061,1.14069205036682,3.65530653516694,3.76857082237947,303.718098622808,-57.3819840728723,0.0,16.4553718566895,0.0,0.0,0.0,0.0,0.0,0.0,10.2529070019223,2.51041603088379,0.0522691085934639,19.7962010340835,0.0,0.0,8,248277.490930301,-75260.822908861,1,139885.69,78929.77,-99,P,rectangular_magnet,R05,1,I,5.0,Q,-155.3568402101431,3.76857082237947,circular_magnet,Yel,1,TR,0.0353742283999999,0.0
6,4604,12.622818997566853,-86.54116102252192,87.5194967836613,-0.747975951148566,1.71621002087984,3.81899933515118,302.721564699195,-56.6781977098558,0.0,16.4012317657471,0.0,0.0,0.0,0.0,0.0,0.0,9.8085387966907,7.39589500427246,0.0548579730093479,23.3375441721636,0.0,0.0,8,23060.8241936052,83794.8951328658,1,12681.73,-86595.82,-99,P,rectangular_magnet,R06,1,I,6.0,A,-47.14413482190372,3.81899933515118,circular_magnet,Blu,1,TR,0.0803623669799998,0.0
7,5265,168.5170907230234,-33.2119547147761,171.747398509683,4.26669922359153,2.94674671339016,1.31995251020137,303.928179651121,-56.9045631629385,0.0,17.1191101074219,0.0,0.0,0.0,0.0,0.0,0.0,9.97653109643781,3.06238198280334,0.0538476519286632,21.0173010490091,0.0,0.0,8,295755.803329045,32636.3027361725,1,168497.51,-33252.94,-99,P,rectangular_magnet,R07,1,I,7.0,M,25.53614203646015,1.31995251020137,circular_magnet,Yel,1,TL,0.0454224428999999,0.0
8,5616,56.84726849652614,25.917950979760843,62.512121490287,-0.33202155860659,3.56882435401186,2.38233939456114,303.068869789251,-57.1604868938615,0.0,16.4972629547119,0.0,0.0,0.0,0.0,0.0,0.0,10.3494950963698,2.68061304092407,0.0567009709775447,19.8922984095709,0.0,0.0,8,101551.774546328,-25202.4604524338,1,56893.3,25902.08,-99,P,rectangular_magnet,R08,1,I,8.0,R,-70.97656598448685,2.38233939456114,circular_magnet,Blu,1,TR,0.04869073126,0.0
9,4552,-75.57342370505569,-143.08836699893783,161.883661092302,-1.13211760043464,1.08539951002006,4.06566819672489,302.044460915246,-56.4380354254395,0.0,15.5187425613403,0.0,0.0,0.0,0.0,0.0,0.0,10.609996182633,2.46018505096436,0.0504564094304316,18.8093077580168,0.0,0.0,8,-129964.630978832,138071.571410945,1,-75528.34,-143184.46,-99,P,rectangular_magnet,R09,1,I,9.0,E,-25.13443958261701,4.06566819672489,circular_magnet,Yel,1,TR,0.1061433243999999,0.0
10,1222,53.62619442338034,-110.54600366088503,122.874805866923,4.15383270236054,2.02234834562965,2.13148435673089,303.039152350414,-56.57723684187,0.0,16.78076171875,0.0,0.0,0.0,0.0,0.0,0.0,10.2171656622564,2.50477290153503,0.0571169666945934,20.1930000316661,0.0,0.0,8,94835.6333692823,106612.051297643,1,53617.96,-110559.18,-99,P,rectangular_magnet,R10,1,I,10.0,P,32.00291735131958,2.13148435673089,circular_magnet,Gre,1,TL,0.0155377488999999,0.0
11,2293,89.16700075599354,-121.4968644636632,150.737902973521,4.36912679150854,2.20360111626169,2.16552567524685,303.311585533175,-56.5316880549272,0.0,17.5426616668701,0.0,0.0,0.0,0.0,0.0,0.0,9.7892548931077,2.59839701652527,0.0546346362680196,21.1380327041668,0.0,0.0,8,156405.532673244,116906.077146715,1,89147.72,-121550.81,-99,P,rectangular_magnet,R11,1,I,11.0,K,19.66747468902588,2.16552567524685,circular_magnet,Yel,1,TL,0.0572875941399999,0.0
12,2729,-5.690803033730654,106.57299641817552,106.720316950497,-0.0338079410464323,-1.51793387976155,1.48412593871512,302.570687492012,-57.5046285671208,0.0,16.0222930908203,0.0,0.0,0.0,0.0,0.0,0.0,10.6067670371224,1.9300400018692,0.0546028986573219,18.7483219709354,0.0,0.0,8,-11037.4246296085,-102978.478609042,1,-5638.87,106571.24,-99,P,rectangular_magnet,R12,1,I,12.0,T,-88.06294766401231,1.48412593871512,circular_magnet,Gre,1,TL,0.0519627269999999,0.0
13,4207,-161.63227855586183,-142.8098694395003,215.727020204944,-1.43831592769387,0.723946850166608,4.12092252931911,301.396485436126,-56.4395469301327,0.0,15.0913181304932,0.0,0.0,0.0,0.0,0.0,0.0,10.8199644336384,4.7082691192627,0.0566858810822598,19.9418063191527,0.0,0.0,8,-276407.089259918,137729.971350272,1,-161622.12,-142886.1,-99,P,rectangular_magnet,R13,1,I,13.0,G,-7.590567736697551,4.12092252931911,circular_magnet,Mag,1,TR,0.0769044511799999,0.0
14,3782,35.87006840043813,-133.12765187863812,137.829443847338,1.35719745918728,1.83415955399953,5.80622321236733,302.901177991985,-56.4822947507235,0.0,15.6816711425781,0.0,0.0,0.0,0.0,0.0,0.0,10.7206996954824,3.84703302383423,0.0562334737151053,19.9622779049012,0.0,0.0,8,63653.4283641986,128068.963896752,1,35881.04,-133077.07,-99,P,rectangular_magnet,R14,1,I,14.0,F,-167.76168637730996,5.80622321236733,circular_magnet,Gre,1,TR,0.05175811476,0.0
15,290,59.77768121808,-58.50510826185342,83.626706847445,1.03829682846067,2.3677624830777,4.95371965256256,303.089713054777,-56.7988301885439,0.0,15.2188367843628,0.0,0.0,0.0,0.0,0.0,0.0,10.5710333075002,5.95588779449463,0.0520426722186794,20.3846016945467,0.0,0.0,8,106262.352555158,56531.9549493582,1,59813.09,-58445.02,-99,P,rectangular_magnet,R15,1,I,15.0,C,-149.4900261526152,4.95371965256256,circular_magnet,Blu,1,TR,0.0697451148799999,0.0
16,642,-17.94744929538042,-103.91004764246496,105.502183187853,-0.884232194863849,1.4003495678154,3.99860354450034,302.484154715348,-56.6035552996429,0.0,17.4331245422363,0.0,0.0,0.0,0.0,0.0,0.0,9.93552476742417,2.13565492630005,0.0571302510797977,20.5142254643977,0.0,0.0,8,-30593.832155814,100664.079840975,1,-17895.56,-103973.36,-99,P,rectangular_magnet,R16,1,I,16.0,L,-39.33722712471206,3.99860354450034,circular_magnet,Gre,1,TR,0.0818593524999998,0.0
17,3769,182.4494562631789,39.43353195328621,186.635689672991,4.46634769357119,3.35416400012952,1.11218369344167,304.040858902496,-57.210840767292,0.0,16.7017974853516,0.0,0.0,0.0,0.0,0.0,0.0,10.0619646418191,6.50459003448486,0.0554486049430536,22.4937945040755,0.0,0.0,8,321221.314139814,-36582.4358477306,1,182434.83,39375.29,-99,P,rectangular_magnet,R17,1,I,17.0,B,14.09712732038136,1.11218369344167,circular_magnet,Yel,1,TL,0.0600504179599999,0.0
18,1321,-1.942185662839249,-174.97832315145416,174.991532290977,-0.978435654168635,1.55984557806697,3.74490407494398,302.611115436003,-56.3075969293247,0.0,16.7519111633301,0.0,0.0,0.0,0.0,0.0,0.0,10.1440150727034,1.76547801494598,0.0518507733941078,19.3550949572641,0.0,0.0,8,-1900.70928770547,167550.671532891,1,-1916.25,-174981.04,-99,P,rectangular_magnet,R18,1,I,18.0,O,-33.939766491015405,3.74490407494398,circular_magnet,Yel,1,TR,0.0167343919199998,0.02
