ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,Field,Region
C901005641602210,302.7612782139634,-56.323043539239336,6.168488025665283,0.0588237912967377,9.764878110377026,-999999.0,17.148134231567383,16.659032821655273,16.567483748604417,16.329940795898438,21.852801133460048,-99999.0,0.0,0.8394982963253105,A3667,1.0,,,,,,,,,,,,,,0.580650482962966,24.673952102661133,,,0,0,8,1,Cluster,A3667
C901005323700416,303.3867484201787,-57.22421186398701,3.2322216033935547,0.0385256316512823,9.375641014587014,-999999.0,17.809038162231445,17.211685180664062,16.91462202522053,16.82297134399414,21.002065505696383,-99999.0,0.0,0.6596662212294063,A3667,0.0,,,,,,,,,,,,,,0.8944161370109143,12.92888641357422,,,0,0,8,3,Cluster,A3667
C901005561503840,303.75928901341854,-56.61581115007782,1.9906423091888428,0.0535681707163651,9.652331276099044,-999999.0,18.163009643554688,17.529159545898438,17.149521904570236,17.146724700927734,20.267000379349973,-99999.0,0.0,0.6409582381416813,A3667,1.0,,,,,,,,,,,,,,1.013487738984452,7.962569236755371,,,0,0,8,1,Cluster,A3667
C901005561300341,302.7103671370233,-56.54991758200176,6.199404716491699,0.0532344758990641,10.061810356484589,-999999.0,16.891254425048828,16.25936508178711,15.960537531939512,15.752277374267578,21.46398971040507,-99999.0,0.0,0.5514460856310105,A3667,1.0,,,,,,,,,,,,,,0.9307168931093166,24.7976188659668,,,0,0,8,1,Cluster,A3667
C901005402501640,303.8685262413722,-56.95837060917467,4.166321754455566,0.0568093620240688,9.664442677496838,-999999.0,18.31303977966309,17.580127716064453,17.342761521018996,17.08501434326172,21.92176642963748,-99999.0,0.0,0.6727605265217926,A3667,1.0,,,,,,,,,,,,,,0.9702782586440896,16.665287017822266,,,0,0,8,1,Cluster,A3667
C901005641502503,302.3304512188983,-56.30249313035998,2.706205129623413,0.0543186645954847,9.918145830322398,-999999.0,17.094125747680664,16.506317138671875,16.227848569355757,16.092470169067383,19.91099538498032,-99999.0,0.0,1.055993125522301,A3667,1.0,,,,,,,,,,,,,,0.866277178324907,10.824820518493652,,,0,0,8,1,Cluster,A3667
C901005722002235,301.2634187979451,-56.09601623114804,5.720869064331055,0.0508795231580734,10.305699258249328,-999999.0,17.340715408325195,16.361148834228516,16.165424019294758,15.564491271972656,21.39133355606011,-99999.0,1.0,1.953950641148268,A3667,1.0,,,,,,,,,,,,,,1.1752913890304375,22.88347625732422,,,0,0,4,1,Cluster,A3667
C901005245310639,302.5706874920123,-57.50462856712085,2.5499069690704346,0.0546028986573219,10.59869450681825,-999999.0,16.9105167388916,15.935786247253418,15.555002158039493,15.252159118652344,19.21128260849897,-99999.0,1.0,1.1491471699752611,A3667,1.0,,,,,,,,,,,,,,1.355514580852109,10.199627876281738,,,0,0,4,1,Cluster,A3667
C901005481708367,303.659896841243,-56.69480906841536,3.5080459117889404,0.0533730331808328,9.789935350241226,-999999.0,18.33894157409668,17.470922470092773,17.27806986278304,16.884506225585938,21.439123494776616,-99999.0,1.0,0.50859569316432,A3667,1.0,,,,,,,,,,,,,,1.0608717113136414,14.032183647155762,,,0,0,1,1,Cluster,A3667
C901005641610832,303.08857878895634,-56.25820885490806,2.814708709716797,0.0515208188444376,10.25494088095964,-999999.0,17.31627655029297,16.41593360900879,16.14219284281159,15.790969848632812,19.90597557565368,-99999.0,1.0,0.8843680812969623,A3667,1.0,,,,,,,,,,,,,,1.1740837074813797,11.258834838867188,,,0,0,1,1,Cluster,A3667
C901005561311996,303.13587366851505,-56.52729692664802,3.1003506183624268,0.0548825412988662,10.318345714217752,-999999.0,17.155990600585938,16.30370330810547,15.96580450267597,15.691905975341797,20.003632044511424,-99999.0,1.0,0.4660750554029937,A3667,1.0,,,,,,,,,,,,,,1.190186097909967,12.401402473449709,,,0,0,1,1,Cluster,A3667
C901005402204814,302.63199140324934,-57.03408436109062,5.889552116394043,0.0559872351586818,10.091404895307615,-999999.0,17.97734260559082,17.077041625976562,16.70757605560798,16.380861282348633,22.170327653655463,-99999.0,1.0,0.5206290927576023,A3667,1.0,,,,,,,,,,,,,,1.2697665499828403,23.55820846557617,,,0,0,1,1,Cluster,A3667
C901005641506785,302.5074768398387,-56.320441930451615,11.843939781188965,0.0506053623742869,10.953716267334949,-999999.0,15.647275924682615,14.706253051757812,14.49479455754046,13.958621978759766,21.316608686567875,-99999.0,1.0,0.943230781801678,A3667,1.0,,,,,,,,,,,,,,1.1524813671421583,47.37575912475586,,,0,0,1,1,Cluster,A3667
C901005481606139,303.122792689148,-56.80013701259983,7.2487053871154785,0.0490393584239526,10.742546628904316,-999999.0,16.18062973022461,15.22407341003418,14.969518953293184,14.546098709106444,20.76825033604721,-99999.0,1.0,0.0421434374914916,A3667,1.0,,,,,,,,,,,,,,1.2111107769314255,28.994821548461918,,,1,0,8,1,Cluster,A3667
